"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2025","95.29","94.66","96.85","94.62","28.12M","0.84%"
"04/14/2025","94.50","97.11","97.37","93.45","36.00M","1.18%"
"04/11/2025","93.40","90.51","94.76","90.50","57.89M","5.30%"
"04/10/2025","88.70","91.00","92.95","85.06","65.21M","-8.41%"
"04/09/2025","96.84","79.22","97.91","78.87","97.83M","23.82%"
"04/08/2025","78.21","86.14","88.93","76.48","69.91M","-6.49%"
"04/07/2025","83.64","80.68","89.00","77.75","70.52M","-2.47%"
"04/04/2025","85.76","90.10","91.08","83.67","65.85M","-8.57%"
"04/03/2025","93.80","97.79","99.45","93.64","50.47M","-8.90%"
"04/02/2025","102.96","101.52","104.18","100.76","20.79M","0.18%"
"04/01/2025","102.78","102.16","102.83","100.93","23.52M","0.04%"
"03/31/2025","102.74","100.24","102.82","98.80","30.87M","-0.47%"
"03/28/2025","103.22","105.53","106.51","102.48","31.07M","-3.22%"
"03/27/2025","106.65","106.11","107.62","105.55","32.77M","-3.21%"
"03/26/2025","110.19","114.11","115.90","108.68","39.98M","-4.02%"
"03/25/2025","114.81","113.26","114.95","112.71","29.08M","0.84%"
"03/24/2025","113.85","109.73","114.85","109.40","53.34M","6.96%"
"03/21/2025","106.44","105.33","107.25","104.33","30.77M","-0.65%"
"03/20/2025","107.14","105.12","108.26","105.12","26.87M","0.86%"
"03/19/2025","106.23","104.42","107.90","101.96","32.29M","2.63%"
"03/18/2025","103.51","103.85","104.55","102.97","27.15M","-1.03%"
"03/17/2025","104.59","102.60","106.15","102.60","43.69M","3.59%"
"03/14/2025","100.97","99.64","101.22","99.58","24.72M","2.92%"
"03/13/2025","98.11","99.71","100.07","97.27","28.58M","-2.66%"
"03/12/2025","100.79","99.04","101.71","98.17","34.24M","4.16%"
"03/11/2025","96.76","96.79","98.16","94.73","34.08M","0.13%"
"03/10/2025","96.63","98.57","101.29","95.83","38.73M","-3.67%"
"03/07/2025","100.31","98.88","100.65","96.39","33.25M","1.48%"
"03/06/2025","98.85","99.05","101.08","98.27","28.98M","-2.77%"
"03/05/2025","101.67","100.36","101.84","98.87","27.86M","0.91%"
"03/04/2025","100.75","96.00","103.18","95.89","54.16M","2.57%"
"03/03/2025","98.23","101.51","102.34","97.09","38.96M","-1.63%"
"02/28/2025","99.86","99.56","101.80","98.69","45.19M","0.35%"
"02/27/2025","99.51","105.08","105.76","99.50","47.26M","-4.99%"
"02/26/2025","104.74","104.94","105.80","103.99","29.18M","0.75%"
"02/25/2025","103.96","107.89","108.64","103.62","39.17M","-3.84%"
"02/24/2025","108.11","111.49","111.60","107.98","29.07M","-2.46%"
"02/21/2025","110.84","114.85","115.76","110.43","41.35M","-2.92%"
"02/20/2025","114.17","115.01","116.55","113.11","27.22M","-0.45%"
"02/19/2025","114.69","114.25","116.11","113.14","28.81M","0.36%"
"02/18/2025","114.28","114.05","115.55","113.45","31.72M","1.04%"
"02/14/2025","113.10","112.65","114.63","111.70","32.48M","1.15%"
"02/13/2025","111.81","112.00","114.60","110.40","40.91M","0.08%"
"02/12/2025","111.72","109.52","111.84","109.06","25.32M","0.56%"
"02/11/2025","111.10","108.98","113.07","108.94","35.03M","0.56%"
"02/10/2025","110.48","108.44","111.40","108.15","34.91M","2.71%"
"02/07/2025","107.56","109.13","109.92","106.79","46.08M","-2.36%"
"02/06/2025","110.16","110.93","112.56","109.02","50.43M","-1.65%"
"02/05/2025","112.01","107.61","112.09","106.50","110.61M","-6.27%"
"02/04/2025","119.50","115.45","119.85","114.79","69.41M","4.58%"
"02/03/2025","114.27","113.88","115.16","112.98","34.59M","-1.45%"
"01/31/2025","115.95","119.14","119.57","115.33","40.53M","-2.45%"
"01/30/2025","118.86","118.53","120.44","117.09","29.79M","1.29%"
"01/29/2025","117.35","115.77","118.52","114.96","40.20M","2.79%"
"01/28/2025","114.17","115.18","116.15","112.95","40.55M","-0.73%"
"01/27/2025","115.01","117.80","118.08","112.80","61.07M","-6.37%"
"01/24/2025","122.84","124.55","125.25","122.23","31.57M","-0.16%"
"01/23/2025","123.04","121.43","123.71","120.63","24.92M","-0.57%"
"01/22/2025","123.75","123.08","125.65","121.91","35.02M","1.20%"
"01/21/2025","122.28","122.39","123.75","121.12","31.58M","0.68%"
"01/17/2025","121.46","120.78","122.74","120.55","35.77M","2.55%"
"01/16/2025","118.44","120.24","121.09","118.25","29.41M","-1.27%"
"01/15/2025","119.96","117.55","120.42","117.46","38.19M","3.33%"
"01/14/2025","116.09","118.00","118.66","114.50","37.01M","-1.05%"
"01/13/2025","117.32","115.28","117.48","114.41","39.13M","1.10%"
"01/10/2025","116.04","118.18","118.71","114.45","59.42M","-4.76%"
"01/08/2025","121.84","124.51","125.30","120.12","46.72M","-4.31%"
"01/07/2025","127.33","130.51","131.71","126.85","39.22M","-1.71%"
"01/06/2025","129.55","129.07","130.73","127.36","48.02M","3.33%"
"01/03/2025","125.37","121.65","125.56","121.42","36.79M","3.93%"
"01/02/2025","120.63","122.29","123.14","119.44","34.26M","-0.13%"
"12/31/2024","120.79","123.10","123.55","120.14","30.20M","-1.35%"
